datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/9/2017 5:00:00 AM,23.35,21.54,1.94,-0.13
10/9/2017 6:00:00 AM,30.89,29.55,1.61,-0.27
10/9/2017 7:00:00 AM,29.98,29.14,1.27,-0.43
10/9/2017 8:00:00 AM,30.36,29.71,1.18,-0.53
10/9/2017 9:00:00 AM,35.76,35.69,0.82,-0.75
10/9/2017 10:00:00 AM,40.42,40.94,0.38,-0.9
10/9/2017 11:00:00 AM,41.35,41.83,0.44,-0.92
10/9/2017 12:00:00 PM,41.72,42.36,0.46,-1.1
10/9/2017 1:00:00 PM,42.3,43.39,0.04,-1.13
10/9/2017 2:00:00 PM,45.14,45.9,0.53,-1.29
10/9/2017 3:00:00 PM,46.98,48.7,-0.16,-1.56
10/9/2017 4:00:00 PM,51.32,53.12,-0.06,-1.74
10/9/2017 5:00:00 PM,48.84,51.18,-0.61,-1.73
10/9/2017 6:00:00 PM,45.66,47.96,-0.67,-1.63
10/9/2017 7:00:00 PM,52.86,56.07,-1.2,-2.01
10/9/2017 8:00:00 PM,43.13,44.48,0.08,-1.43
10/9/2017 9:00:00 PM,36.97,37.26,0.72,-1.01
10/9/2017 10:00:00 PM,29.94,29.6,1.01,-0.67
10/9/2017 11:00:00 PM,25.89,25.58,0.74,-0.43
10/10/2017 12:00:00 AM,24.64,24.86,0.21,-0.43
10/10/2017 1:00:00 AM,23.82,22.96,1.21,-0.35
10/10/2017 2:00:00 AM,23.37,21.99,1.56,-0.18
10/10/2017 3:00:00 AM,23.17,21.66,1.7,-0.19
10/10/2017 4:00:00 AM,23.58,21.73,2.03,-0.18
10/10/2017 5:00:00 AM,26.36,25.18,1.65,-0.47
10/10/2017 6:00:00 AM,33.13,31.79,2.21,-0.87
10/10/2017 7:00:00 AM,34.91,33.79,1.89,-0.77
10/10/2017 8:00:00 AM,36.01,34.96,1.75,-0.7
10/10/2017 9:00:00 AM,37.49,36.82,1.47,-0.8
10/10/2017 10:00:00 AM,41.15,40.79,1.49,-1.13
10/10/2017 11:00:00 AM,43.31,43.16,1.31,-1.16
10/10/2017 12:00:00 PM,45.23,45.67,0.76,-1.2
10/10/2017 1:00:00 PM,47.53,48.91,0.08,-1.46
10/10/2017 2:00:00 PM,51.66,53.66,-0.33,-1.67
10/10/2017 3:00:00 PM,52.56,55.35,-0.96,-1.83
10/10/2017 4:00:00 PM,55.42,57.95,-0.52,-2.01
10/10/2017 5:00:00 PM,50.2,52.25,-0.19,-1.86
10/10/2017 6:00:00 PM,47.79,49.52,0.11,-1.84
10/10/2017 7:00:00 PM,47.19,48.4,0.75,-1.96
10/10/2017 8:00:00 PM,40.76,40.52,1.61,-1.37
10/10/2017 9:00:00 PM,35.08,34.82,1.29,-1.03
10/10/2017 10:00:00 PM,28.25,27.6,1.31,-0.66
10/10/2017 11:00:00 PM,23.7,23.3,0.83,-0.43
10/11/2017 12:00:00 AM,23.43,22.62,1.29,-0.48
10/11/2017 1:00:00 AM,23.11,22.01,1.51,-0.41
10/11/2017 2:00:00 AM,22.25,20.96,1.6,-0.31
10/11/2017 3:00:00 AM,22.05,20.69,1.63,-0.27
10/11/2017 4:00:00 AM,22.27,20.76,1.78,-0.27
10/11/2017 5:00:00 AM,23.76,22.45,1.76,-0.45
10/11/2017 6:00:00 AM,31.89,30.55,2.29,-0.95
10/11/2017 7:00:00 AM,30.52,29.74,1.69,-0.91
10/11/2017 8:00:00 AM,29.93,29.32,1.59,-0.98
10/11/2017 9:00:00 AM,31.1,30.72,1.57,-1.19
10/11/2017 10:00:00 AM,33.86,33.62,1.6,-1.36
10/11/2017 11:00:00 AM,34.53,34.59,1.24,-1.3
10/11/2017 12:00:00 PM,34.96,35.18,1.17,-1.39
10/11/2017 1:00:00 PM,36.93,37.26,1.21,-1.54
10/11/2017 2:00:00 PM,38.58,38.92,1.33,-1.67
10/11/2017 3:00:00 PM,38.45,39.03,1.23,-1.81
10/11/2017 4:00:00 PM,39.87,40.29,1.4,-1.82
10/11/2017 5:00:00 PM,38.5,38.78,1.44,-1.72
10/11/2017 6:00:00 PM,38.28,39.25,0.72,-1.69
10/11/2017 7:00:00 PM,40.97,42.96,-0.25,-1.74
10/11/2017 8:00:00 PM,35.84,36.04,1.16,-1.36
10/11/2017 9:00:00 PM,30.33,30.13,1.32,-1.12
10/11/2017 10:00:00 PM,24.89,24.32,1.12,-0.55
10/11/2017 11:00:00 PM,23.31,22.63,1.12,-0.44
10/12/2017 12:00:00 AM,22.14,21.67,0.92,-0.45
10/12/2017 1:00:00 AM,21.81,21.03,1.1,-0.32
10/12/2017 2:00:00 AM,21.59,20.7,1.12,-0.23
10/12/2017 3:00:00 AM,21.43,20.51,1.1,-0.18
10/12/2017 4:00:00 AM,21.64,20.57,1.26,-0.19
10/12/2017 5:00:00 AM,22.76,21.93,1.33,-0.5
10/12/2017 6:00:00 AM,28.61,28.35,1.2,-0.94
10/12/2017 7:00:00 AM,28.46,28.07,1.23,-0.84
10/12/2017 8:00:00 AM,27.53,27.17,1.1,-0.74
10/12/2017 9:00:00 AM,29.47,29.07,1.17,-0.77
10/12/2017 10:00:00 AM,30.78,30.34,1.28,-0.84
10/12/2017 11:00:00 AM,30.99,30.5,1.33,-0.84
10/12/2017 12:00:00 PM,31.8,31.13,1.56,-0.89
10/12/2017 1:00:00 PM,32.3,31.32,1.96,-0.98
10/12/2017 2:00:00 PM,32.66,31.48,2.14,-0.96
10/12/2017 3:00:00 PM,30.94,30.03,1.81,-0.9
10/12/2017 4:00:00 PM,30.84,29.99,1.68,-0.83
10/12/2017 5:00:00 PM,30.63,30.14,1.38,-0.89
10/12/2017 6:00:00 PM,32.64,32.9,0.9,-1.16
10/12/2017 7:00:00 PM,36.49,37.54,0.38,-1.43
10/12/2017 8:00:00 PM,31.15,31.18,0.81,-0.84
10/12/2017 9:00:00 PM,27.4,27.17,0.92,-0.69
10/12/2017 10:00:00 PM,23.55,22.78,1.32,-0.55
10/12/2017 11:00:00 PM,21.83,21.19,1.02,-0.38
10/13/2017 12:00:00 AM,22.38,21.75,0.86,-0.23
10/13/2017 1:00:00 AM,21.65,20.66,1.13,-0.14
10/13/2017 2:00:00 AM,21.57,20.29,1.34,-0.06
10/13/2017 3:00:00 AM,21.43,19.99,1.52,-0.08
10/13/2017 4:00:00 AM,21.66,20.29,1.46,-0.09
10/13/2017 5:00:00 AM,22.95,21.85,1.47,-0.37
10/13/2017 6:00:00 AM,30.34,29.6,1.47,-0.73
10/13/2017 7:00:00 AM,30.65,29.91,1.32,-0.58
10/13/2017 8:00:00 AM,29.04,27.96,1.57,-0.49
10/13/2017 9:00:00 AM,31.35,30.09,1.8,-0.54
10/13/2017 10:00:00 AM,31.64,30.22,1.96,-0.54
10/13/2017 11:00:00 AM,32.13,30.64,2,-0.51
10/13/2017 12:00:00 PM,32.84,30.93,2.46,-0.55
10/13/2017 1:00:00 PM,33.64,31.61,2.58,-0.55
10/13/2017 2:00:00 PM,33.94,31.32,3.16,-0.54
10/13/2017 3:00:00 PM,34.22,31.93,2.83,-0.54
10/13/2017 4:00:00 PM,33.14,31.3,2.36,-0.52
10/13/2017 5:00:00 PM,32.46,30.86,2.14,-0.54
10/13/2017 6:00:00 PM,32.24,31.79,1.13,-0.68
10/13/2017 7:00:00 PM,36.45,36.67,0.79,-1.01
10/13/2017 8:00:00 PM,30.41,29.74,1.23,-0.56
10/13/2017 9:00:00 PM,26.89,26.32,1.02,-0.45
10/13/2017 10:00:00 PM,23.88,23.15,1.04,-0.31
10/13/2017 11:00:00 PM,22.29,21.35,1.1,-0.16
10/14/2017 12:00:00 AM,21.94,20.43,1.62,-0.11
10/14/2017 1:00:00 AM,21.73,20.04,1.73,-0.04
10/14/2017 2:00:00 AM,20.9,19.14,1.65,0.11
10/14/2017 3:00:00 AM,20.63,18.89,1.64,0.1
10/14/2017 4:00:00 AM,20.64,18.78,1.77,0.09
10/14/2017 5:00:00 AM,21.34,19.58,1.87,-0.11
10/14/2017 6:00:00 AM,22.09,20.67,2.01,-0.59
10/14/2017 7:00:00 AM,23.32,21.71,2.12,-0.51
10/14/2017 8:00:00 AM,24.78,23.07,2.12,-0.41
10/14/2017 9:00:00 AM,26.92,25.5,1.93,-0.51
10/14/2017 10:00:00 AM,28.97,27.47,2.1,-0.6
10/14/2017 11:00:00 AM,29.99,28.66,1.95,-0.62
10/14/2017 12:00:00 PM,32.67,31.23,2.04,-0.6
10/14/2017 1:00:00 PM,32.53,31.32,1.82,-0.61
10/14/2017 2:00:00 PM,32.6,31.19,2.04,-0.63
10/14/2017 3:00:00 PM,32.34,30.7,2.25,-0.61
10/14/2017 4:00:00 PM,33.05,31.69,1.98,-0.62
10/14/2017 5:00:00 PM,32.96,31.55,2.02,-0.61
10/14/2017 6:00:00 PM,33.3,32.54,1.38,-0.62
10/14/2017 7:00:00 PM,34.81,34.26,1.45,-0.9
10/14/2017 8:00:00 PM,32.13,31.01,1.63,-0.51
10/14/2017 9:00:00 PM,28.82,27.24,2.02,-0.44
10/14/2017 10:00:00 PM,24.58,22.85,2.04,-0.31
10/14/2017 11:00:00 PM,22.98,21.1,2.04,-0.16
10/15/2017 12:00:00 AM,22.11,20.55,1.61,-0.05
10/15/2017 1:00:00 AM,21.02,18.87,2.18,-0.03
10/15/2017 2:00:00 AM,20.86,18.3,2.53,0.03
10/15/2017 3:00:00 AM,19.9,17.3,2.56,0.04
10/15/2017 4:00:00 AM,19.95,16.84,3.07,0.04
10/15/2017 5:00:00 AM,20.21,17.59,2.62,0
10/15/2017 6:00:00 AM,20.94,18.34,2.72,-0.12
10/15/2017 7:00:00 AM,21.37,18.71,2.75,-0.09
10/15/2017 8:00:00 AM,23.13,20.61,2.72,-0.2
10/15/2017 9:00:00 AM,24.52,22.2,2.67,-0.35
10/15/2017 10:00:00 AM,26.44,24.89,1.93,-0.38
10/15/2017 11:00:00 AM,27.93,26.91,1.44,-0.42
10/15/2017 12:00:00 PM,29.41,28.98,0.88,-0.45
10/15/2017 1:00:00 PM,30.24,30.34,0.42,-0.52
10/15/2017 2:00:00 PM,31.62,32.31,-0.15,-0.54
10/15/2017 3:00:00 PM,31.49,33.87,-1.82,-0.56
10/15/2017 4:00:00 PM,32.85,36.44,-2.92,-0.67
10/15/2017 5:00:00 PM,33.85,37.45,-2.91,-0.69
10/15/2017 6:00:00 PM,37.21,42,-3.84,-0.95
10/15/2017 7:00:00 PM,39.44,43.64,-3.23,-0.97
10/15/2017 8:00:00 PM,34.25,35.31,-0.32,-0.74
10/15/2017 9:00:00 PM,30.02,30.8,-0.1,-0.68
10/15/2017 10:00:00 PM,24.77,24.05,1.12,-0.4
10/15/2017 11:00:00 PM,23.44,22.43,1.31,-0.3
10/16/2017 12:00:00 AM,23.14,21.56,1.65,-0.07
10/16/2017 1:00:00 AM,22.36,20.45,1.87,0.04
10/16/2017 2:00:00 AM,21.99,20.01,1.9,0.08
10/16/2017 3:00:00 AM,21.91,19.67,2.14,0.1
10/16/2017 4:00:00 AM,22.7,20.49,2.08,0.13
10/16/2017 5:00:00 AM,24.84,22.82,1.91,0.11
10/16/2017 6:00:00 AM,33.55,30.98,2.51,0.06
10/16/2017 7:00:00 AM,33.94,32.2,1.74,0
10/16/2017 8:00:00 AM,31.52,29.43,2.22,-0.13
10/16/2017 9:00:00 AM,33.96,31.86,2.49,-0.39
10/16/2017 10:00:00 AM,34.42,32.76,2.27,-0.61
10/16/2017 11:00:00 AM,34.35,31.91,3.03,-0.59
10/16/2017 12:00:00 PM,34.33,30.9,3.87,-0.44
10/16/2017 1:00:00 PM,35.05,31.65,3.77,-0.37
10/16/2017 2:00:00 PM,34.44,30.78,4.14,-0.48
10/16/2017 3:00:00 PM,32.97,29.74,3.73,-0.5
