datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/6/2017 9:00:00 PM,10/6/2017 5:00:00 PM,10/6/2017 10:00:00 PM,10/6/2017 6:00:00 PM,DAY,2122.0
10/6/2017 10:00:00 PM,10/6/2017 6:00:00 PM,10/6/2017 11:00:00 PM,10/6/2017 7:00:00 PM,DAY,2080.3
10/6/2017 11:00:00 PM,10/6/2017 7:00:00 PM,10/7/2017 12:00:00 AM,10/6/2017 8:00:00 PM,DAY,2088.5
10/7/2017 12:00:00 AM,10/6/2017 8:00:00 PM,10/7/2017 1:00:00 AM,10/6/2017 9:00:00 PM,DAY,2064.8
10/7/2017 1:00:00 AM,10/6/2017 9:00:00 PM,10/7/2017 2:00:00 AM,10/6/2017 10:00:00 PM,DAY,1988.7
10/7/2017 2:00:00 AM,10/6/2017 10:00:00 PM,10/7/2017 3:00:00 AM,10/6/2017 11:00:00 PM,DAY,1866.6
10/7/2017 3:00:00 AM,10/6/2017 11:00:00 PM,10/7/2017 4:00:00 AM,10/7/2017 12:00:00 AM,DAY,1734.0
10/7/2017 4:00:00 AM,10/7/2017 12:00:00 AM,10/7/2017 5:00:00 AM,10/7/2017 1:00:00 AM,DAY,1613.5
10/7/2017 5:00:00 AM,10/7/2017 1:00:00 AM,10/7/2017 6:00:00 AM,10/7/2017 2:00:00 AM,DAY,1523.8
10/7/2017 6:00:00 AM,10/7/2017 2:00:00 AM,10/7/2017 7:00:00 AM,10/7/2017 3:00:00 AM,DAY,1463.8
10/7/2017 7:00:00 AM,10/7/2017 3:00:00 AM,10/7/2017 8:00:00 AM,10/7/2017 4:00:00 AM,DAY,1430.4
10/7/2017 8:00:00 AM,10/7/2017 4:00:00 AM,10/7/2017 9:00:00 AM,10/7/2017 5:00:00 AM,DAY,1423.8
10/7/2017 9:00:00 AM,10/7/2017 5:00:00 AM,10/7/2017 10:00:00 AM,10/7/2017 6:00:00 AM,DAY,1450.0
10/7/2017 10:00:00 AM,10/7/2017 6:00:00 AM,10/7/2017 11:00:00 AM,10/7/2017 7:00:00 AM,DAY,1515.2
10/7/2017 11:00:00 AM,10/7/2017 7:00:00 AM,10/7/2017 12:00:00 PM,10/7/2017 8:00:00 AM,DAY,1597.5
