datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/5/2017 11:00:00 AM,10/5/2017 7:00:00 AM,10/5/2017 12:00:00 PM,10/5/2017 8:00:00 AM,ATSI,7770.4
10/5/2017 12:00:00 PM,10/5/2017 8:00:00 AM,10/5/2017 1:00:00 PM,10/5/2017 9:00:00 AM,ATSI,7776.3
10/5/2017 1:00:00 PM,10/5/2017 9:00:00 AM,10/5/2017 2:00:00 PM,10/5/2017 10:00:00 AM,ATSI,7873.4
10/5/2017 2:00:00 PM,10/5/2017 10:00:00 AM,10/5/2017 3:00:00 PM,10/5/2017 11:00:00 AM,ATSI,8035.7
10/5/2017 3:00:00 PM,10/5/2017 11:00:00 AM,10/5/2017 4:00:00 PM,10/5/2017 12:00:00 PM,ATSI,8109.4
10/5/2017 4:00:00 PM,10/5/2017 12:00:00 PM,10/5/2017 5:00:00 PM,10/5/2017 1:00:00 PM,ATSI,8062.8
10/5/2017 5:00:00 PM,10/5/2017 1:00:00 PM,10/5/2017 6:00:00 PM,10/5/2017 2:00:00 PM,ATSI,8118.2
10/5/2017 6:00:00 PM,10/5/2017 2:00:00 PM,10/5/2017 7:00:00 PM,10/5/2017 3:00:00 PM,ATSI,8145.2
10/5/2017 7:00:00 PM,10/5/2017 3:00:00 PM,10/5/2017 8:00:00 PM,10/5/2017 4:00:00 PM,ATSI,8138.5
10/5/2017 8:00:00 PM,10/5/2017 4:00:00 PM,10/5/2017 9:00:00 PM,10/5/2017 5:00:00 PM,ATSI,8103.7
10/5/2017 9:00:00 PM,10/5/2017 5:00:00 PM,10/5/2017 10:00:00 PM,10/5/2017 6:00:00 PM,ATSI,8063.4
10/5/2017 10:00:00 PM,10/5/2017 6:00:00 PM,10/5/2017 11:00:00 PM,10/5/2017 7:00:00 PM,ATSI,7928.2
10/5/2017 11:00:00 PM,10/5/2017 7:00:00 PM,10/6/2017 12:00:00 AM,10/5/2017 8:00:00 PM,ATSI,8183.1
10/6/2017 12:00:00 AM,10/5/2017 8:00:00 PM,10/6/2017 1:00:00 AM,10/5/2017 9:00:00 PM,ATSI,8131.9
10/6/2017 1:00:00 AM,10/5/2017 9:00:00 PM,10/6/2017 2:00:00 AM,10/5/2017 10:00:00 PM,ATSI,7821.4
10/6/2017 2:00:00 AM,10/5/2017 10:00:00 PM,10/6/2017 3:00:00 AM,10/5/2017 11:00:00 PM,ATSI,7338.4
10/6/2017 3:00:00 AM,10/5/2017 11:00:00 PM,10/6/2017 4:00:00 AM,10/6/2017 12:00:00 AM,ATSI,6933.6
10/6/2017 4:00:00 AM,10/6/2017 12:00:00 AM,10/6/2017 5:00:00 AM,10/6/2017 1:00:00 AM,ATSI,6570.9
10/6/2017 5:00:00 AM,10/6/2017 1:00:00 AM,10/6/2017 6:00:00 AM,10/6/2017 2:00:00 AM,ATSI,6348.3
10/6/2017 6:00:00 AM,10/6/2017 2:00:00 AM,10/6/2017 7:00:00 AM,10/6/2017 3:00:00 AM,ATSI,6115.7
10/6/2017 7:00:00 AM,10/6/2017 3:00:00 AM,10/6/2017 8:00:00 AM,10/6/2017 4:00:00 AM,ATSI,6126.6
10/6/2017 8:00:00 AM,10/6/2017 4:00:00 AM,10/6/2017 9:00:00 AM,10/6/2017 5:00:00 AM,ATSI,6226.2
10/6/2017 9:00:00 AM,10/6/2017 5:00:00 AM,10/6/2017 10:00:00 AM,10/6/2017 6:00:00 AM,ATSI,6601.5
10/6/2017 10:00:00 AM,10/6/2017 6:00:00 AM,10/6/2017 11:00:00 AM,10/6/2017 7:00:00 AM,ATSI,7282.3
10/6/2017 11:00:00 AM,10/6/2017 7:00:00 AM,10/6/2017 12:00:00 PM,10/6/2017 8:00:00 AM,ATSI,7801.5
10/6/2017 12:00:00 PM,10/6/2017 8:00:00 AM,10/6/2017 1:00:00 PM,10/6/2017 9:00:00 AM,ATSI,7943.1
10/6/2017 1:00:00 PM,10/6/2017 9:00:00 AM,10/6/2017 2:00:00 PM,10/6/2017 10:00:00 AM,ATSI,8085.2
10/6/2017 2:00:00 PM,10/6/2017 10:00:00 AM,10/6/2017 3:00:00 PM,10/6/2017 11:00:00 AM,ATSI,8208.2
10/6/2017 3:00:00 PM,10/6/2017 11:00:00 AM,10/6/2017 4:00:00 PM,10/6/2017 12:00:00 PM,ATSI,8182.2
10/6/2017 4:00:00 PM,10/6/2017 12:00:00 PM,10/6/2017 5:00:00 PM,10/6/2017 1:00:00 PM,ATSI,8233.1
10/6/2017 5:00:00 PM,10/6/2017 1:00:00 PM,10/6/2017 6:00:00 PM,10/6/2017 2:00:00 PM,ATSI,8250.8
10/6/2017 6:00:00 PM,10/6/2017 2:00:00 PM,10/6/2017 7:00:00 PM,10/6/2017 3:00:00 PM,ATSI,8159.1
10/6/2017 7:00:00 PM,10/6/2017 3:00:00 PM,10/6/2017 8:00:00 PM,10/6/2017 4:00:00 PM,ATSI,8008.8
10/6/2017 8:00:00 PM,10/6/2017 4:00:00 PM,10/6/2017 9:00:00 PM,10/6/2017 5:00:00 PM,ATSI,7877.7
10/6/2017 9:00:00 PM,10/6/2017 5:00:00 PM,10/6/2017 10:00:00 PM,10/6/2017 6:00:00 PM,ATSI,7807.2
10/6/2017 10:00:00 PM,10/6/2017 6:00:00 PM,10/6/2017 11:00:00 PM,10/6/2017 7:00:00 PM,ATSI,7752.3
10/6/2017 11:00:00 PM,10/6/2017 7:00:00 PM,10/7/2017 12:00:00 AM,10/6/2017 8:00:00 PM,ATSI,7896.9
10/7/2017 12:00:00 AM,10/6/2017 8:00:00 PM,10/7/2017 1:00:00 AM,10/6/2017 9:00:00 PM,ATSI,7747.6
10/7/2017 1:00:00 AM,10/6/2017 9:00:00 PM,10/7/2017 2:00:00 AM,10/6/2017 10:00:00 PM,ATSI,7529.9
10/7/2017 2:00:00 AM,10/6/2017 10:00:00 PM,10/7/2017 3:00:00 AM,10/6/2017 11:00:00 PM,ATSI,7170.3
10/7/2017 3:00:00 AM,10/6/2017 11:00:00 PM,10/7/2017 4:00:00 AM,10/7/2017 12:00:00 AM,ATSI,6678.1
10/7/2017 4:00:00 AM,10/7/2017 12:00:00 AM,10/7/2017 5:00:00 AM,10/7/2017 1:00:00 AM,ATSI,6311.0
10/7/2017 5:00:00 AM,10/7/2017 1:00:00 AM,10/7/2017 6:00:00 AM,10/7/2017 2:00:00 AM,ATSI,6083.2
10/7/2017 6:00:00 AM,10/7/2017 2:00:00 AM,10/7/2017 7:00:00 AM,10/7/2017 3:00:00 AM,ATSI,5921.6
10/7/2017 7:00:00 AM,10/7/2017 3:00:00 AM,10/7/2017 8:00:00 AM,10/7/2017 4:00:00 AM,ATSI,5808.4
10/7/2017 8:00:00 AM,10/7/2017 4:00:00 AM,10/7/2017 9:00:00 AM,10/7/2017 5:00:00 AM,ATSI,5820.7
10/7/2017 9:00:00 AM,10/7/2017 5:00:00 AM,10/7/2017 10:00:00 AM,10/7/2017 6:00:00 AM,ATSI,5901.2
10/7/2017 10:00:00 AM,10/7/2017 6:00:00 AM,10/7/2017 11:00:00 AM,10/7/2017 7:00:00 AM,ATSI,6146.6
10/7/2017 11:00:00 AM,10/7/2017 7:00:00 AM,10/7/2017 12:00:00 PM,10/7/2017 8:00:00 AM,ATSI,6445.1
10/7/2017 12:00:00 PM,10/7/2017 8:00:00 AM,10/7/2017 1:00:00 PM,10/7/2017 9:00:00 AM,ATSI,6692.1
10/7/2017 1:00:00 PM,10/7/2017 9:00:00 AM,10/7/2017 2:00:00 PM,10/7/2017 10:00:00 AM,ATSI,6928.5
10/7/2017 2:00:00 PM,10/7/2017 10:00:00 AM,10/7/2017 3:00:00 PM,10/7/2017 11:00:00 AM,ATSI,7108.4
10/7/2017 3:00:00 PM,10/7/2017 11:00:00 AM,10/7/2017 4:00:00 PM,10/7/2017 12:00:00 PM,ATSI,7290.9
