datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/3/2018 8:00:00 PM,7/3/2018 4:00:00 PM,RFC,WEST,AEP,AEPKPT,977.074,True
7/3/2018 8:00:00 PM,7/3/2018 4:00:00 PM,RFC,WEST,AEP,AEPOPT,9524.696,True
7/3/2018 9:00:00 PM,7/3/2018 5:00:00 PM,RFC,WEST,AEP,AEPAPT,6469.578,True
7/3/2018 9:00:00 PM,7/3/2018 5:00:00 PM,RFC,WEST,AEP,AEPIMP,4483.887,True
7/3/2018 9:00:00 PM,7/3/2018 5:00:00 PM,RFC,WEST,AEP,AEPKPT,971.701,True
7/3/2018 9:00:00 PM,7/3/2018 5:00:00 PM,RFC,WEST,AEP,AEPOPT,9518.781,True
7/3/2018 10:00:00 PM,7/3/2018 6:00:00 PM,RFC,WEST,AEP,AEPAPT,6412.073,True
7/3/2018 10:00:00 PM,7/3/2018 6:00:00 PM,RFC,WEST,AEP,AEPIMP,4428.085,True
7/3/2018 10:00:00 PM,7/3/2018 6:00:00 PM,RFC,WEST,AEP,AEPKPT,954.154,True
7/3/2018 10:00:00 PM,7/3/2018 6:00:00 PM,RFC,WEST,AEP,AEPOPT,9451.346,True
7/3/2018 11:00:00 PM,7/3/2018 7:00:00 PM,RFC,WEST,AEP,AEPAPT,6230.987,True
7/3/2018 11:00:00 PM,7/3/2018 7:00:00 PM,RFC,WEST,AEP,AEPIMP,4320.213,True
7/3/2018 11:00:00 PM,7/3/2018 7:00:00 PM,RFC,WEST,AEP,AEPKPT,926.459,True
7/3/2018 11:00:00 PM,7/3/2018 7:00:00 PM,RFC,WEST,AEP,AEPOPT,9019.875,True
7/4/2018 12:00:00 AM,7/3/2018 8:00:00 PM,RFC,WEST,AEP,AEPAPT,5949.205,True
7/4/2018 12:00:00 AM,7/3/2018 8:00:00 PM,RFC,WEST,AEP,AEPIMP,4124.497,True
7/4/2018 12:00:00 AM,7/3/2018 8:00:00 PM,RFC,WEST,AEP,AEPKPT,888.628,True
7/4/2018 12:00:00 AM,7/3/2018 8:00:00 PM,RFC,WEST,AEP,AEPOPT,8578.350,True
7/4/2018 1:00:00 AM,7/3/2018 9:00:00 PM,RFC,WEST,AEP,AEPAPT,5789.079,True
7/4/2018 1:00:00 AM,7/3/2018 9:00:00 PM,RFC,WEST,AEP,AEPIMP,4037.408,True
7/4/2018 1:00:00 AM,7/3/2018 9:00:00 PM,RFC,WEST,AEP,AEPKPT,862.695,True
7/4/2018 1:00:00 AM,7/3/2018 9:00:00 PM,RFC,WEST,AEP,AEPOPT,8261.678,True
7/4/2018 2:00:00 AM,7/3/2018 10:00:00 PM,RFC,WEST,AEP,AEPAPT,5432.670,True
7/4/2018 2:00:00 AM,7/3/2018 10:00:00 PM,RFC,WEST,AEP,AEPIMP,3843.365,True
7/4/2018 2:00:00 AM,7/3/2018 10:00:00 PM,RFC,WEST,AEP,AEPKPT,813.654,True
7/4/2018 2:00:00 AM,7/3/2018 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7768.098,True
